index,X,Y,Z,image_path,beam
1,165.366661,5.625,50,images_vision_drones/run7/dronecam2/image150.jpg,18
2,164.7154221,5.625,50,images_vision_drones/run7/dronecam2/image151.jpg,18
3,164.2261366,5.625,50,images_vision_drones/run7/dronecam2/image152.jpg,18
4,163.5748976,5.625,50,images_vision_drones/run7/dronecam2/image153.jpg,18
5,162.9236587,5.625,50,images_vision_drones/run7/dronecam2/image154.jpg,18
6,162.2724197,5.625,50,images_vision_drones/run7/dronecam2/image155.jpg,18
7,161.7831342,5.625,50,images_vision_drones/run7/dronecam2/image156.jpg,18
8,161.1318953,5.625,50,images_vision_drones/run7/dronecam2/image157.jpg,18
9,160.4806563,5.625,50,images_vision_drones/run7/dronecam2/image158.jpg,18
10,159.8294173,5.625,50,images_vision_drones/run7/dronecam2/image159.jpg,18
11,159.3401319,5.625,50,images_vision_drones/run7/dronecam2/image160.jpg,18
12,158.6888929,5.625,50,images_vision_drones/run7/dronecam2/image161.jpg,18
13,158.0376539,5.625,50,images_vision_drones/run7/dronecam2/image162.jpg,18
14,157.386415,5.625,50,images_vision_drones/run7/dronecam2/image163.jpg,18
15,156.8971295,5.625,50,images_vision_drones/run7/dronecam2/image164.jpg,18
16,156.2458905,5.625,50,images_vision_drones/run7/dronecam2/image165.jpg,18
17,155.5946516,5.625,50,images_vision_drones/run7/dronecam2/image166.jpg,18
18,154.9434126,5.625,50,images_vision_drones/run7/dronecam2/image167.jpg,18
19,154.4541271,5.625,50,images_vision_drones/run7/dronecam2/image168.jpg,18
20,153.8028882,5.625,50,images_vision_drones/run7/dronecam2/image169.jpg,18
21,153.1516492,5.625,50,images_vision_drones/run7/dronecam2/image170.jpg,18
22,152.5004102,5.625,50,images_vision_drones/run7/dronecam2/image171.jpg,18
23,152.0111248,5.625,50,images_vision_drones/run7/dronecam2/image172.jpg,18
24,151.3598858,5.625,50,images_vision_drones/run7/dronecam2/image173.jpg,18
25,150.7086468,5.625,50,images_vision_drones/run7/dronecam2/image174.jpg,18
26,150.0574079,5.625,50,images_vision_drones/run7/dronecam2/image175.jpg,18
27,149.5681224,5.625,50,images_vision_drones/run7/dronecam2/image176.jpg,18
28,148.9168834,5.625,50,images_vision_drones/run7/dronecam2/image177.jpg,18
29,148.2656445,5.625,50,images_vision_drones/run7/dronecam2/image178.jpg,18
30,147.6144055,5.625,50,images_vision_drones/run7/dronecam2/image179.jpg,18
31,147.12512,5.625,50,images_vision_drones/run7/dronecam2/image180.jpg,18
32,146.4738811,5.625,50,images_vision_drones/run7/dronecam2/image181.jpg,18
33,145.8226421,5.625,50,images_vision_drones/run7/dronecam2/image182.jpg,18
34,145.1714031,5.625,50,images_vision_drones/run7/dronecam2/image183.jpg,18
35,144.6821177,5.625,50,images_vision_drones/run7/dronecam2/image184.jpg,18
36,144.0308787,5.625,50,images_vision_drones/run7/dronecam2/image185.jpg,18
37,143.3796397,5.625,50,images_vision_drones/run7/dronecam2/image186.jpg,18
38,142.7284008,5.625,50,images_vision_drones/run7/dronecam2/image187.jpg,18
